column,count,missing_ratio,mean,std,min,p5,p25,median,p75,p95,max
open,197923,0.0,5394.606902904614,22072.28951920919,0.08754,0.22742,1.619,5.2221,132.8,68506.99999999988,125986.1
high,197923,0.0,5412.137322523103,22139.937474106304,0.08862,0.22865,1.632,5.2607,133.505,68849.57999999997,126208.5
low,197923,0.0,5376.480033907934,22002.427226660282,0.07991,0.22605,1.60555,5.182,131.97,68208.37999999999,125185.1
close,197923,0.0,5394.480332206565,22071.879843010218,0.08755,0.22741,1.61835,5.222,132.8,68506.99999999988,125986.0
volume_usd,197923,0.0,92010833.29168344,298980722.8124947,154595.4901,1286039.3655500002,3429435.8625999996,8514034.0796,36626983.824499995,491762288.45666987,14480886317.9759
funding_close,197923,0.0,-0.00012256961545651602,0.01734435691287794,-1.063407,-0.0230707,-0.003689,0.003419,0.01,0.01,0.16382
oi_close,194807,0.01574349620812134,942287374.3186282,2217678747.2182026,16069000.0,28679497.9,55917692.5,106358537.0,403940360.0,7537283500.399994,12740660940.0
taker_buy_volume_usd,197923,0.0,45424361.5316043,147685953.37529948,52524.3914,622252.17646,1672701.6765,4179219.204,17939976.81425,242953285.5479494,6766949972.5504
taker_sell_volume_usd,197923,0.0,46586471.76016338,152401377.55387974,91734.2259,643502.70789,1733711.0247499999,4321018.359,18625752.96535,246596585.84566993,7713936345.4255
global_account_long_short_ratio,194807,0.01574349620812134,2.2381017109241457,0.8177028178268891,0.42,1.02,1.65,2.18,2.71,3.67,6.41
price,197793,0.0006568210869883742,5396.455544422816,22080.817073590133,0.0876232195834485,0.227399081508064,1.6191203865748824,5.22494900862007,132.85053448457003,68521.11982488152,126079.88702928118
market_cap,197793,0.0006568210869883742,146586821301.12326,438755842127.1517,623867687.6367577,1423231083.881488,3580758051.9536467,10186931104.82894,71401313485.5621,1369615198805.4814,2507866749377.686
total_volume,197793,0.0006568210869883742,4937327025.742497,13324658800.126505,20139636.34043543,75181990.32772279,201149435.6078864,514783492.0325253,1939994552.8761392,33010183149.03029,334466092137.7238
active_community_count,164320,0.16977814604669492,38.86164800389484,61.38381140073836,0.0,2.0,6.0,13.0,39.0,156.0,2041.0
mention_count,164280,0.16998024484269134,48.93270635500365,84.18342763382616,0.0,1.0,5.0,15.0,49.0,218.0,1948.0
positive_sentiment_ratio,152267,0.23067556575031703,0.7360345965310934,0.172003999009392,0.0,0.46938,0.66257,0.74666,0.83333,1.0,1.0
negative_sentiment_ratio,152285,0.23058462129211865,0.26395849315428305,0.17199685957736133,0.0,0.0,0.16666,0.25333,0.33742,0.53061,1.0
