symbol,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
ADAUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
APTUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
ATOMUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
AVAXUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
BCHUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
BNBUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
BTCUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
DOGEUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
DOTUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
ETCUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
ETHUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
FILUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
LINKUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
LTCUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
NEARUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
SOLUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
TRXUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
XLMUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
XRPUSDT,744,672,744,720,744,720,744,744,720,744,720,744,744,672,241
