datetime,mean,std,skew,median,p01,p99
2025-01-01 12:00:00,9.874228730128472e-10,9.46026914344363e-10,1.5946587997164363,9.015554588484636e-10,1.1150814986128668e-11,3.52547759731871e-09
2025-01-01 13:00:00,9.355947032050036e-10,8.957018840847273e-10,1.6081842652010547,8.683907646518356e-10,1.0782611521466772e-11,3.3447423182930745e-09
2025-01-01 14:00:00,8.841736720876779e-10,8.444543490546732e-10,1.5938694978140895,8.318551418143338e-10,1.0144585245808239e-11,3.1466745302926457e-09
2025-01-01 15:00:00,9.22905170049516e-10,9.079088183231453e-10,1.7068191971233424,7.875787540285635e-10,9.95187437418166e-12,3.3981558660111918e-09
2025-01-01 16:00:00,8.817946733913487e-10,8.700252754791006e-10,1.7710607841599038,7.510548953663304e-10,1.0048180145162281e-11,3.2770930859165483e-09
2025-01-01 17:00:00,8.405237937949829e-10,8.248182233975345e-10,1.7539988650166745,7.336978699312308e-10,9.634161938172574e-12,3.1041229657978654e-09
2025-01-01 18:00:00,8.592892239330508e-10,8.380480320613038e-10,1.6771124264241302,7.583092731625471e-10,9.617467697838164e-12,3.13085621698016e-09
2025-01-01 19:00:00,8.343669620316153e-10,8.177503328823951e-10,1.697139290475161,7.344413026911696e-10,9.502580996152692e-12,3.0593411059764774e-09
2025-01-01 20:00:00,8.114027143815848e-10,7.928045640811399e-10,1.678127526388235,6.994197887532343e-10,9.343853668550747e-12,2.9675976204739506e-09
2025-01-01 21:00:00,7.85063280827617e-10,7.684612669858799e-10,1.6974440594703395,6.703416239827072e-10,9.174315386576373e-12,2.8784941947986996e-09
2025-01-01 22:00:00,7.67122792021468e-10,7.498879296194291e-10,1.7026342244369908,6.446111757875224e-10,9.170328454225214e-12,2.813300282583473e-09
2025-01-01 23:00:00,7.507545431484112e-10,7.28542105893973e-10,1.6552650334836128,6.205493660168614e-10,9.039606870873135e-12,2.720548382509421e-09
2025-01-02 00:00:00,7.518084376776125e-10,7.294968761589808e-10,1.6405092120470917,6.012220678765995e-10,9.005386854982473e-12,2.718983537217835e-09
2025-01-02 01:00:00,6.804814757737415e-10,6.454458680166868e-10,1.5909160362410608,5.474038806275623e-10,8.176889642879105e-12,2.4113038369123406e-09
2025-01-02 02:00:00,6.891339799036969e-10,6.591860293116968e-10,1.518853841393636,5.205343593018554e-10,7.712269449078729e-12,2.4383773175590563e-09
2025-01-02 03:00:00,6.741648340423507e-10,6.63745691138712e-10,1.6478332662536168,5.02323834096204e-10,7.527243637421513e-12,2.4797879995981713e-09
2025-01-02 04:00:00,6.655264549839762e-10,6.38018806766755e-10,1.4736308054703124,4.975571097114876e-10,7.313485669448521e-12,2.352905678476961e-09
2025-01-02 05:00:00,6.452548859414815e-10,6.279199491398615e-10,1.534505851900514,4.77344354416168e-10,7.040585393025783e-12,2.318305144604037e-09
2025-01-02 06:00:00,6.43665328004184e-10,6.265851781901125e-10,1.5288523193280255,4.858094239970157e-10,7.007422559023784e-12,2.3156396024047447e-09
2025-01-02 07:00:00,6.493461498273934e-10,6.493566023024853e-10,1.5782529823549416,4.815174965225417e-10,7.1321774140679694e-12,2.3897405254297735e-09
2025-01-02 08:00:00,6.18920132556145e-10,6.25093655541967e-10,1.6569324890920683,4.872910469909288e-10,7.008258550145497e-12,2.3168858984458114e-09
2025-01-02 09:00:00,6.398785228014428e-10,6.503233231379679e-10,1.6587544673691224,4.821036445546216e-10,7.394003222755834e-12,2.4079535871234424e-09
2025-01-02 10:00:00,6.361916598871681e-10,6.369210861921094e-10,1.5453450471507928,4.962205096199532e-10,7.182350304910573e-12,2.331281431943422e-09
2025-01-02 11:00:00,5.96594554073622e-10,5.892507225163833e-10,1.4469437105684548,5.005389936620251e-10,6.9226923361260506e-12,2.13368691201738e-09
2025-01-02 12:00:00,5.508166744222653e-10,5.406486929922856e-10,1.4462234499780053,4.872167093125937e-10,6.680468506657858e-12,1.9625919967000173e-09
2025-01-02 13:00:00,5.586886766156384e-10,5.496019610844844e-10,1.4366544981804634,4.918380464214969e-10,6.6933194914997685e-12,1.9884077189532864e-09
2025-01-02 14:00:00,5.549265602417002e-10,5.474380765276193e-10,1.442458937876178,4.872823156827933e-10,6.778298262401735e-12,1.9783454699691827e-09
2025-01-02 15:00:00,5.223534619343902e-10,5.030342933969572e-10,1.3328037406056796,4.625014258177676e-10,6.797309267334774e-12,1.8030618312862024e-09
2025-01-02 16:00:00,5.268807624013975e-10,5.100606835091069e-10,1.335981903727182,4.521838141486353e-10,6.511050522036201e-12,1.8290096673993186e-09
2025-01-02 17:00:00,5.444329573891708e-10,5.327153770903901e-10,1.396129909656905,4.670301006793853e-10,6.599882760625646e-12,1.920990869282417e-09
2025-01-02 18:00:00,5.315478171276687e-10,5.250335567296126e-10,1.493038652683252,4.994656510085077e-10,6.573166065993643e-12,1.918831923141173e-09
2025-01-02 19:00:00,5.459552994557119e-10,5.301031478002416e-10,1.4277516441483145,4.908837850313713e-10,6.284290426807673e-12,1.9285339198781764e-09
