factor_name,horizon,n_obs,coverage_mean,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,factor_autocorr_mean,top_bottom_mean_ret,top_bottom_std_ret,top_bottom_sharpe_naive,avg_group_turnover
oi_volume_ratio,4,194807,1.0,0.025464158117703507,0.3346828299975937,0.07608444722966669,0.024600200893152405,0.3271336167309919,0.07519924469672101,0.8102017194503305,0.00012985166424848074,0.010586854445447118,0.012265367858349856,0.6364500306560394
turnover_volatility_24,4,197638,1.0,0.01749360935905119,0.22469922652091265,0.07785344716059898,0.009907605043219584,0.28667942002883123,0.03455987542526987,0.998702557238645,0.00011665847909060231,0.0071824127485679255,0.016242241034897385,0.06258042953745291
funding_z_24,4,197638,1.0,0.011392283757076318,0.25646266624481673,0.044420827108445235,0.006233566219833232,0.2521856604436107,0.024718162836234514,0.8873047310683705,0.00024711756242169536,0.00708749184895886,0.034866715567811166,0.4812271353220441
long_short_ratio_z_24,4,194598,1.0,0.0017240280367075867,0.25617767805250286,0.006729813658266988,0.006043947994878156,0.2525288468185446,0.023933693401756672,0.8630597449859748,-4.320598621513202e-06,0.007120964998884043,-0.0006067434149140682,0.5092676031451543
taker_imbalance,4,197847,1.0,0.004673347190620758,0.25026168007044997,0.01867384247275297,0.003995673697333171,0.24667225154108735,0.01619831039913878,0.07901325653174637,0.00020922917855422258,0.007068459486608335,0.029600392974030724,0.8585802096482082
volatility_ratio_6_24,4,197619,1.0,0.004803817491327254,0.29336772618200935,0.01637473062844863,0.001564667208005125,0.26744393165549846,0.005850449469217209,0.7945073533542881,0.0003311442623111609,0.008279882602622137,0.03999383543992493,0.5867298534798536
close_to_high_24,4,197638,1.0,0.008326712081206078,0.3482034279304118,0.0239133547038091,-0.001323286329975611,0.32747344596746836,-0.004040896586476288,0.916860640924487,0.00028072090934646123,0.010056625097994506,0.027914027477719996,0.4690407057929412
volume_ratio_24,4,197638,1.0,-0.0022057928610252236,0.29300373050715833,-0.007528207429986309,-0.0013879307806398805,0.2608421882126133,-0.005320959734869472,0.41250022876706305,0.00015663955534944807,0.008205275404009341,0.019090103332036756,0.7863952641916301
volume_momentum_6_24,4,197638,1.0,3.871575518865424e-05,0.2963084422468272,0.00013066031765734525,-0.0016869840468396564,0.2620761535393005,-0.0064369994142952115,0.9052554169344164,0.0001636155070777327,0.008410142192665141,0.019454547058785108,0.5024293451636976
active_community_count_z_24,4,164144,1.0,-0.008356304763170706,0.26953586225742476,-0.03100257120946256,-0.007075183117126787,0.2648784457594053,-0.02671105645012209,0.3751556708074773,2.3979528040943712e-05,0.008242910650415124,0.0029091093007088415,0.7999059502919905
mom_6h,4,197733,1.0,-0.011940740332496251,0.3570758719681095,-0.033440344951476415,-0.018218860502873274,0.31892466859660584,-0.05712590557195313,0.7984015904442378,0.00010851858530246709,0.010113238791306819,0.010730349350103115,0.629559304918713
amihud_illiquidity_24,4,197619,1.0,-0.01759452896891367,0.28000681194661836,-0.06283607476022808,-0.01911599059472097,0.3203442510241717,-0.05967327502693,0.9992918635660478,-0.0002245206551054031,0.008292207890033793,-0.02707610060622974,0.04499038461538461
oi_change_24h,4,197391,1.0,-0.01866606768216739,0.3195332891456949,-0.05841666053641743,-0.0232978439795098,0.2705277743607,-0.08611997061847042,0.9620877525464416,-4.6095536418157206e-05,0.009612704974250473,-0.004795272146272867,0.3989719934408258
ma_gap_24_72,4,197182,1.0,-0.0216219648709362,0.36035215153434486,-0.060002319339046394,-0.029750636781415013,0.3253544544988048,-0.0914406929733088,0.9983214260964904,-0.00028587014434828064,0.010569076092709084,-0.027047789401235933,0.11928651734375934
price_range,4,197847,1.0,-0.034455724128557234,0.40225912652571877,-0.08565554354493589,-0.03489119772460881,0.37593092843928455,-0.09281278842730592,0.6263832003936977,-0.0001817109981608335,0.012137785323556539,-0.014970688086994356,0.7166945191445768
ema_ratio_24,4,197638,1.0,-0.029843906680217146,0.36767756479324454,-0.08116869109736964,-0.04033419612021275,0.32207906251966206,-0.12523073000942192,0.9041066486674394,-8.661244244639829e-05,0.01025573912117644,-0.008445265759452905,0.5239012732292225
trend_strength_12_48,4,197410,1.0,-0.030179058164157706,0.3694246568683647,-0.08169205168898507,-0.04180562536467834,0.3279399801295882,-0.1274795020358025,0.9954105148636134,-0.0003878390943887071,0.010546159067479547,-0.03677538825939806,0.1778380063162044
realized_vol_24,4,197391,1.0,-0.041987464337156326,0.4207168000650934,-0.09979982812799541,-0.041953529372355636,0.3960563838702755,-0.10592817356528507,0.9901460863990563,-0.00035852749062937093,0.012675005132261882,-0.028286181098934573,0.18315272200524416
atr_like_14,4,197733,1.0,-0.041652209950950314,0.43892449026291774,-0.09489607181842498,-0.04337032201167277,0.41303100808027027,-0.1050050024407344,0.9913385798434936,-0.00026624501283438673,0.013169738943973462,-0.02021642296379803,0.22644344380073764
mom_24h,4,197391,1.0,-0.03547264622692985,0.365470382541263,-0.09706024871339006,-0.045382010802222914,0.3208213712926297,-0.14145569735342636,0.9448835516485996,-0.0002736568009675547,0.010770606355426574,-0.025407743251545902,0.4445228927150375
