strategy,side,chunk,log_path,episodes,avg_reward,std_reward,avg_filled,std_filled,avg_remaining,std_remaining,avg_equity,std_equity
TWAP Market,buy,2025-12-26_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-26_18_50episodes.log,50,0.1564,8.513568,0.05,0.0,0.0,0.0,-0.928946,0.584794
Passive Best Bid,buy,2025-12-26_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-26_18_50episodes.log,50,-2.9483,0.312465,0.0039,0.002071,0.0461,0.002071,-0.029045,0.178633
Passive Then Sweep,buy,2025-12-26_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-26_18_50episodes.log,50,-3.0206,34.219089,0.05,0.0,0.0,0.0,-0.836145,0.511438
PPO Trained Model,buy,2025-12-26_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-26_18_50episodes.log,50,0.1564,8.513568,0.05,0.0,0.0,0.0,-0.928946,0.584794
TWAP Market,buy,2025-12-27_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-27_18_20episodes.log,20,-0.276,5.402226,0.05,0.0,0.0,0.0,-0.907347,0.334525
Passive Best Bid,buy,2025-12-27_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-27_18_20episodes.log,20,-2.84425,0.151577,0.003,0.002449,0.047,0.002449,-0.022275,0.10438
Passive Then Sweep,buy,2025-12-27_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-27_18_20episodes.log,20,-1.373,23.546056,0.05,0.0,0.0,0.0,-0.930841,0.206222
PPO Trained Model,buy,2025-12-27_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-27_18_20episodes.log,20,-0.2985,5.405922,0.05,0.0,0.0,0.0,-0.908472,0.333852
TWAP Market,buy,2025-12-28_00,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-28_00_20episodes.log,20,0.71,4.24091,0.05,0.0,0.0,0.0,-0.857729,0.348736
Passive Best Bid,buy,2025-12-28_00,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-28_00_20episodes.log,20,-2.9065,0.220279,0.003,0.002449,0.047,0.002449,-0.02965,0.0869
Passive Then Sweep,buy,2025-12-28_00,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-28_00_20episodes.log,20,-1.1945,21.189038,0.05,0.0,0.0,0.0,-0.887349,0.182155
PPO Trained Model,buy,2025-12-28_00,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_buy/eval_buy_2025-12-28_00_20episodes.log,20,0.71,4.24091,0.05,0.0,0.0,0.0,-0.857729,0.348736
TWAP Market,sell,2025-12-26_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_sell/eval_sell_2025-12-26_18_20episodes.log,20,2.6755,8.038482,0.05,0.0,0.0,0.0,-1.092995,0.378731
Passive Best Bid,sell,2025-12-26_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_sell/eval_sell_2025-12-26_18_20episodes.log,20,-2.88175,0.242504,0.00425,0.001785,0.04575,0.001785,-0.063738,0.151364
Passive Then Sweep,sell,2025-12-26_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_sell/eval_sell_2025-12-26_18_20episodes.log,20,4.375,36.864238,0.05,0.0,0.0,0.0,-0.87295,0.413894
PPO Trained Model,sell,2025-12-26_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_sell/eval_sell_2025-12-26_18_20episodes.log,20,2.6755,8.038482,0.05,0.0,0.0,0.0,-1.092995,0.378731
TWAP Market,sell,2025-12-27_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_sell/eval_sell_2025-12-27_18_20episodes.log,20,0.1455,5.333106,0.05,0.0,0.0,0.0,-0.850021,0.335486
Passive Best Bid,sell,2025-12-27_18,/home/joyce/projects/cross-asset-quant-lab/execution_rl_project/.copilot_run_logs/btcusdt_sell/eval_sell_2025-12-27_18_20episodes.log,20,-2.80275,0.17551,0.0035,0.002291,0.0465,0.002291,-0.011075,0.104483
